MFU Election System Login & Profile Reference
============================================

Admin Access:
- Username: admin
- Password: admin123

Voter Access (local demo data):
- Citizen ID: 673*******  (actual stored ID: 6731501123)
- Laser ID: GY2*****  (actual stored laser: GY2884227)

Candidate access is login-only—there is no in-app registration flow. Use the candidate ID or email plus password below to sign in.

Candidate Directory:
1. CAN-001 / thitipong@mfu.ac.th
   - Password: SiriSecure!26

2. CAN-002 / anya@mfu.ac.th
   - Password: VoicePulse$26

3. CAN-003 / somchai@mfu.ac.th
   - Password: InnovateEdge#26

4. CAN-004 / sirin@mfu.ac.th
   - Password: DigitalPioneer@26

5. CAN-005 / piyawan@mfu.ac.th
   - Password: CommunityFirst%26

6. CAN-006 / thanat@mfu.ac.th
   - Password: GreenFuture#26

All credentials are for local/demo environments only. Protect live secrets with a secure store.

Voter Directory (52 seeded student logins):
ID | Citizen ID | Laser ID
VTR-001 | 6731501000 | GY22884000
VTR-002 | 6731501001 | GY22884001
VTR-003 | 6731501002 | GY22884002
VTR-004 | 6731501003 | GY22884003
VTR-005 | 6731501004 | GY22884004
VTR-006 | 6731501005 | GY22884005
VTR-007 | 6731501006 | GY22884006
VTR-008 | 6731501007 | GY22884007
VTR-009 | 6731501008 | GY22884008
VTR-010 | 6731501009 | GY22884009
VTR-011 | 6731501010 | GY22884010
VTR-012 | 6731501011 | GY22884011
VTR-013 | 6731501012 | GY22884012
VTR-014 | 6731501013 | GY22884013
VTR-015 | 6731501014 | GY22884014
VTR-016 | 6731501015 | GY22884015
VTR-017 | 6731501016 | GY22884016
VTR-018 | 6731501017 | GY22884017
VTR-019 | 6731501018 | GY22884018
VTR-020 | 6731501019 | GY22884019
VTR-021 | 6731501020 | GY22884020
VTR-022 | 6731501021 | GY22884021
VTR-023 | 6731501022 | GY22884022
VTR-024 | 6731501023 | GY22884023
VTR-025 | 6731501024 | GY22884024
VTR-026 | 6731501025 | GY22884025
VTR-027 | 6731501026 | GY22884026
VTR-028 | 6731501027 | GY22884027
VTR-029 | 6731501028 | GY22884028
VTR-030 | 6731501029 | GY22884029
VTR-031 | 6731501030 | GY22884030
VTR-032 | 6731501031 | GY22884031
VTR-033 | 6731501032 | GY22884032
VTR-034 | 6731501033 | GY22884033
VTR-035 | 6731501034 | GY22884034
VTR-036 | 6731501035 | GY22884035
VTR-037 | 6731501036 | GY22884036
VTR-038 | 6731501037 | GY22884037
VTR-039 | 6731501038 | GY22884038
VTR-040 | 6731501039 | GY22884039
VTR-041 | 6731501040 | GY22884040
VTR-042 | 6731501041 | GY22884041
VTR-043 | 6731501042 | GY22884042
VTR-044 | 6731501043 | GY22884043
VTR-045 | 6731501044 | GY22884044
VTR-046 | 6731501045 | GY22884045
VTR-047 | 6731501046 | GY22884046
VTR-048 | 6731501047 | GY22884047
VTR-049 | 6731501048 | GY22884048
VTR-050 | 6731501049 | GY22884049
VTR-051 | 6731501050 | GY22884050
VTR-052 | 6731501051 | GY22884051
